MONTH,STEP_CODE,CNT,QTY
'199701,"[12,14)",1,14
'199811,"[12,14)",1,13
'199507,"[12,14)",1,14
'200909,"[ 2, 3)","119,678","298,037"
'200909,"[30,35)","13,946","448,625"
'200909,"[25,30)","28,747","779,524"
'200907,"[10,12)","172,387","1,889,820"
'200912,"[ 3, 4)","115,239","402,889"
'200108,"[14,16)",6,91
'199810,"[ 3, 4)",3,10
'199510,"[ 3, 4)",3,10
'201006,"[25,30)","31,914","865,311"
'201006,"[ 9,10)","92,552","876,467"
'201012,"[ 7, 8)","105,561","790,099"
'201103,"[ 0, 0]","178,778",0
'201109,"[ 0, 0]","181,089",0
'201111,"[ 8, 9)","108,881","923,919"
'201108,"[18,20)","54,665","1,034,817"
'201201,"[ 1, 2)","123,514","177,883"
'199810,"[ 6, 7)",1,6
'201202,"[35,40)","2,850","106,219"
'199707,"[ 6, 7)",1,6
'199111,"[ 6, 7)",1,7
'201206,"[45,50)","3,278","154,935"
'201207,"[ 6, 7)","105,832","687,089"
'201207,"[30,35)","17,793","573,061"
'201211,"[ 1, 2)","118,951","177,945"
'198511,"[ 0, 0]",1,0
'198607,"[ 0, 0]",1,0
'201306,"[35,40)","6,826","254,183"
'199112,"[ 0, 0]",1,0
'198312,"[ 0, 0]",1,0
'198601,"[ 0, 0]",1,0
'201307,"[ 0, 0]","222,269",0
'201305,"[16,18)","82,236","1,391,892"
'201307,"[12,14)","133,346","1,727,040"
'201401,"[45,50)","1,154","54,624"
'201404,"[25,30)","18,045","487,806"
'201404,"[ 4, 5)","103,313","463,532"
'201311,"[50,..)","5,463","1,271,804"
'201406,"[ 5, 6)","99,411","543,975"
'201407,"[35,40)","6,598","245,914"
'200610,"[ 8, 9)","4,665","39,659"
'200608,"[35,40)",224,"8,345"
'200609,"[35,40)",219,"8,144"
'200609,"[16,18)","1,043","17,680"
'200503,"[ 0, 0]","1,673",0
'200503,"[ 9,10)",79,751
'200604,"[ 9,10)",443,"4,213"
'200603,"[ 6, 7)",376,"2,445"
'200312,"[30,35)",23,745
'200301,"[50,..)",29,"3,085"
'200105,"[ 7, 8)",5,36
'200512,"[ 7, 8)",184,"1,381"
'200509,"[ 1, 2)",191,277
'200503,"[ 1, 2)",128,185
'200505,"[ 2, 3)",112,283
'200205,"( 0, 1)",74,21
'200209,"[ 5, 6)",33,183
'200205,"[12,14)",20,257
'200309,"[12,14)",43,549
'200203,"[ 2, 3)",21,53
'200411,"[10,12)",89,968
'200102,"[ 8, 9)",1,9
'199312,"[25,30)",2,53
'199402,"[20,25)",3,68
'199306,"[ 4, 5)",4,18
'199308,"[ 4, 5)",4,18
'199409,"[ 4, 5)",4,18
'200311,"[ 8, 9)",35,297
'199209,"[ 0, 0]",140,0
'199902,"[20,25)",3,68
'199910,"[ 4, 5)",5,23
'200205,"[ 5, 6)",26,143
'200206,"[16,18)",8,135
'199411,"( 0, 1)",21,4
'200705,"[ 0, 0]","123,033",0
'200109,"[16,18)",4,67
'200707,"[ 1, 2)","103,599","152,439"
'200107,"[30,35)",7,226
'199309,"[ 2, 3)",5,13
'199702,"[ 2, 3)",5,12
'200705,"[18,20)","70,570","1,336,651"
'199810,"[30,35)",3,96
'199905,"[30,35)",3,96
'200711,"[40,45)","3,806","160,933"
'200711,"[ 5, 6)","106,450","583,377"
'199710,"[30,35)",2,66
'199909,"[30,35)",3,97
'200206,"[18,20)",10,189
'200712,"( 0, 1)","133,013","70,057"
'201402,"[ 0, 0]","249,274",0
'200801,"[14,16)","114,096","1,705,925"
'199512,"[16,18)",2,33
'199207,"[16,18)",1,16
'200102,"[45,50)",1,48
'200103,"[20,25)",6,126
'200809,"[ 6, 7)","110,250","715,359"
'200101,"[18,20)",4,78
'200810,"[ 1, 2)","111,107","166,434"
'200810,"[35,40)","8,537","318,455"
'200811,"[ 4, 5)","114,769","514,252"
'199211,"[12,14)",1,13
'200902,"[ 0, 0]","152,888",0
'199705,"[20,25)",2,44
'199808,"[20,25)",3,65
'200906,"[50,..)","15,163","2,073,535"
'200909,"[18,20)","52,429","991,648"
'200908,"( 0, 1)","138,109","75,167"
'200910,"[ 6, 7)","109,019","707,505"
'200911,"[ 6, 7)","113,021","732,834"
'200911,"[ 8, 9)","105,776","897,688"
'199208,"[30,35)",1,34
'199507,"[ 8, 9)",1,9
'201001,"[ 3, 4)","115,756","404,487"
'201001,"[ 2, 3)","112,958","282,579"
'200912,"[16,18)","79,539","1,347,614"
'199207,"[20,25)",1,22
'199210,"[20,25)",1,22
'201003,"[ 8, 9)","105,306","893,696"
'201003,"[ 5, 6)","110,931","609,033"
'201008,"[50,..)","14,592","2,180,484"
'201006,"[16,18)","75,947","1,285,670"
'201010,"[ 0, 0]","151,481",0
'201101,"[40,45)","2,720","115,091"
'201102,"[ 3, 4)","129,209","450,247"
